"ZONA";"PLANTA";"EQUIPO";"TIPO";"KW_FRIO"
"ESTE";"BRAVA";"400000206";"TECNICO";"60"
"ESTE";"BRAVA";"400000095";"TECNICO";"60"
"ESTE";"BRAVA";"600005043";"TECNICO";"60"
"ESTE";"BRAVA";"600005042";"TECNICO";"60"
"ESTE";"BRAVA";"600003446";"TECNICO";"40"
"ESTE";"BRAVA";"600000134";"TECNICO";"20"
"ESTE";"BRAVA";"600000131";"TECNICO";"50"
"ESTE";"BRAVA";"600000128";"TECNICO";"20"
"ESTE";"BRAVA";"600000146";"TECNICO";"85"
"ESTE";"BRAVA";"600000143";"TECNICO";"85"
"ESTE";"BRAVA";"600000140";"TECNICO";"70"
"ESTE";"BRAVA";"600000137";"TECNICO";"70"
"ESTE";"BRAVA";"400000180";"TECNICO";"50"
"ESTE";"BRAVA";"400000198";"TECNICO";"75"
"ESTE";"BRAVA";"400000197";"TECNICO";"75"
"ESTE";"BRAVA";"400000196";"TECNICO";"75"
"ESTE";"BRAVA";"400000195";"TECNICO";"75"
"ESTE";"BRAVA";"400000194";"TECNICO";"75"
"ESTE";"BRAVA";"400000193";"TECNICO";"75"
"ESTE";"BRAVA";"400000192";"TECNICO";"20"
"ESTE";"BRAVA";"400000191";"TECNICO";"20"
"ESTE";"BRAVA";"400000190";"TECNICO";"60"
"ESTE";"BRAVA";"400000189";"TECNICO";"60"
"ESTE";"BRAVA";"400000186";"TECNICO";"20"
"ESTE";"BRAVA";"400000185";"TECNICO";"20"
"ESTE";"BRAVA";"400000184";"TECNICO";"20"
"ESTE";"BRAVA";"400000183";"TECNICO";"20"
"ESTE";"BRAVA";"400000182";"TECNICO";"50"
"ESTE";"BRAVA";"400000205";"TECNICO";"60"
"ESTE";"BRAVA";"400000204";"TECNICO";"60"
"ESTE";"BRAVA";"400000203";"TECNICO";"75"
"ESTE";"BRAVA";"400000202";"TECNICO";"75"
"ESTE";"BRAVA";"400000201";"TECNICO";"75"
"ESTE";"BRAVA";"400000200";"TECNICO";"75"
"ESTE";"BRAVA";"400000199";"TECNICO";"40"
"ESTE";"BRAVA";"400000043";"CONFORT";"24"
