country;store_ulr;address
Austria;https://www.lego.com/en-us/stores/stores/at/vienna-scs;SHOPPING CITY SÜD, UNIT G103 2334 VÖSENDORF
Austria;https://www.lego.com/en-us/stores/stores/at/vienna-dz;WAGRAMER STRAßE 81, #928B 1220 VIENNA
Belgium;https://www.lego.com/en-us/stores/stores/be/wijnegem;SPACE 526, TURNHOUTSEBAAN 5 2110 WIJNEGEM
Canada;https://www.lego.com/en-us/stores/stores/ca/chinook-ctr;6455 MACLEOD TRAIL SW, SP 203 CALGARY AB T2H 0K8
Canada;https://www.lego.com/en-us/stores/stores/ca/southgate;5015-111 ST NW SPACE #424 EDMONTON AB T6H 4M6
Canada;https://www.lego.com/en-us/stores/stores/ca/guildford;10355 152 STREET SURREY BC V3R 7C1
Canada;https://www.lego.com/en-us/stores/stores/ca/oakridge-centre;650 WEST 41st AVE, SPACE 175 VANCOUVER BC V5Z 2M9
Canada;https://www.lego.com/en-us/stores/stores/ca/polo-park;1485 PORTAGE AVE, UNIT 0210A WINNIPEG MB R3G 0W4
Canada;https://www.lego.com/en-us/stores/stores/ca/fairview-mall;1800 SHEPPARD AVE EAST TORONTO ON M2J 5A7
Canada;https://www.lego.com/en-us/stores/stores/ca/sherway-gardens;25 THE WEST MALL - #1066 TORONTO ON M9C 1B8
Canada;https://www.lego.com/en-us/stores/stores/ca/yorkdale;1 YORKDALE ROAD, UNIT 84 TORONTO ON M6A 3A1
Canada;https://www.lego.com/en-us/stores/stores/ca/carrefour-laval;3035 BOULEVARD LE CARREFOUR LAVAL QC H7T 1C8
Canada;https://www.lego.com/en-us/stores/stores/ca/fairview-pointe-claire;6801 TRANS-CANADA HWY POINTE CLAIRE QC H9R 5J2
China;https://www.lego.com/en-us/stores/stores/cn/shanghai;b'\xe7\x94\xb3\xe8\xbf\xaa\xe8\xa5\xbf\xe8\xb7\xaf255\xe5\xbc\x84660\xe5\x8f\xb7\xe5\x92\x8c665\xe5\x8f\xb7 \xe4\xb8\xad\xe5\x9b\xbd\xe4\xb8\x8a\xe6\xb5\xb7\xe6\xb5\xa6\xe4\xb8\x9c\xe6\x96\xb0\xe5\x8c\xba 201205'
Denmark;https://www.lego.com/en-us/stores/stores/dk/copenhagen;VIMMELSKAFTET 37 COPENHAGEN 1161
Denmark;https://www.lego.com/en-us/stores/stores/dk/lego-house-billund;OLE KIRKS PLADS 1 BILLUND 7190
France;https://www.lego.com/en-us/stores/stores/fr/bordeaux-ste-catherine;RUE GUIRAUDE BORDEAUX 33000
France;https://www.lego.com/en-us/stores/stores/fr/clermont-ferrand;CENTRE JAUDE CLERMONT-FERRAND 63000
France;https://www.lego.com/en-us/stores/stores/fr/disneyland;DISNEY VILLAGE CHESSY 77700
France;https://www.lego.com/en-us/stores/stores/fr/lille;CENTRE COMMERCIAL EURALILLE LILLE 59800
France;https://www.lego.com/en-us/stores/stores/fr/lyon-la-part-dieu;17 RUE DU DOCTEUR BOUCHUT LYON 69003
France;https://www.lego.com/en-us/stores/stores/fr/paris-les-halles;1, PASSAGE DE LA CANOPÉE PARIS 75001
France;https://www.lego.com/en-us/stores/stores/fr/so-ouest;CENTRE COMMERCIAL SO OUEST LEVALLOIS-PERRET 92300
Germany;https://www.lego.com/en-us/stores/stores/de/berlin;TAUENTZIENSTRAßE 20 BERLIN 10789
Germany;https://www.lego.com/en-us/stores/stores/de/essen;LIMBECKERSTRAßE 25 ESSEN 45127
Germany;https://www.lego.com/en-us/stores/stores/de/frankfurt;MYZEIL EINKAUFSZENTRUM FRANKFURT 60313
Germany;https://www.lego.com/en-us/stores/stores/de/hamburg;SPITALERSTRAßE 12 HAMBURG 20095
Germany;https://www.lego.com/en-us/stores/stores/de/koeln;HOHE STRASSE 68-82 KÖLN 50667
Germany;https://www.lego.com/en-us/stores/stores/de/leipzig;HÖFE AM BRÜHL LEIPZIG 04109
Germany;https://www.lego.com/en-us/stores/stores/de/muenchen-riem;RIEM ARKARDEN MÜNCHEN 81829
Germany;https://www.lego.com/en-us/stores/stores/de/muenchen-pasing;PASING ARCADEN MÜNCHEN 81241
Germany;https://www.lego.com/en-us/stores/stores/de/nuernberg;BREITE GASSE 39 NÜRNBERG 90402
Germany;https://www.lego.com/en-us/stores/stores/de/oberhausen;CENTRO EINKAUFZENTRUM OBERHAUSEN 46047
Germany;https://www.lego.com/en-us/stores/stores/de/saarbruecken;BAHNHOFSTRAßE 77 SAARBRÜCKEN 66111
