country;store_url;address;GOOGLE_address;latitude;longitude
Austria;https://www.lego.com/en-us/stores/stores/at/vienna-scs;SHOPPING CITY SÜD, UNIT G103 2334 VÖSENDORF;Bahnhofpl. 164, 2334 Vösendorf, Austria;48.1093208;16.3172479
Austria;https://www.lego.com/en-us/stores/stores/at/vienna-dz;WAGRAMER STRAßE 81, #928B 1220 VIENNA;Wagramer Str. 81/928b, 1220 Wien, Austria;48.2423608;16.4349903
Belgium;https://www.lego.com/en-us/stores/stores/be/wijnegem;SPACE 526, TURNHOUTSEBAAN 5 2110 WIJNEGEM;Turnhoutsebaan 5, 2110 Wijnegem, Belgium;51.2231142;4.5004884
Canada;https://www.lego.com/en-us/stores/stores/ca/southgate;5015-111 ST NW SPACE #424 EDMONTON AB T6H 4M6;5015 111 St #424, Edmonton, AB T6H 4M6, Canada;53.4854969;-113.5137132
Canada;https://www.lego.com/en-us/stores/stores/ca/guildford;10355 152 STREET SURREY BC V3R 7C1;10355 152 St, Surrey, BC V3R 7C1, Canada;49.1904168;-122.803713
Canada;https://www.lego.com/en-us/stores/stores/ca/oakridge-centre;650 WEST 41st AVE, SPACE 175 VANCOUVER BC V5Z 2M9;650 W 41st Ave, Vancouver, BC V5Z 2M9, Canada;49.2319166;-123.1179691
Canada;https://www.lego.com/en-us/stores/stores/ca/polo-park;1485 PORTAGE AVE, UNIT 0210A WINNIPEG MB R3G 0W4;1485 Portage Ave #0210a, Winnipeg, MB R3G 0W4, Canada;49.8839383;-97.1988147
Canada;https://www.lego.com/en-us/stores/stores/ca/fairview-mall;1800 SHEPPARD AVE EAST TORONTO ON M2J 5A7;1800 Sheppard Ave E, North York, ON M2J 5A7, Canada;43.7779901;-79.3440914
Canada;https://www.lego.com/en-us/stores/stores/ca/sherway-gardens;25 THE WEST MALL - #1066 TORONTO ON M9C 1B8;25 The West Mall #1066, Etobicoke, ON M9C 1B8, Canada;43.6116933;-79.557183
Canada;https://www.lego.com/en-us/stores/stores/ca/yorkdale;1 YORKDALE ROAD, UNIT 84 TORONTO ON M6A 3A1;1 Yorkdale Rd #84, North York, ON M6A 3A1, Canada;43.7268682;-79.45116089999999
Canada;https://www.lego.com/en-us/stores/stores/ca/carrefour-laval;3035 BOULEVARD LE CARREFOUR LAVAL QC H7T 1C8;3035 Boulevard le Carrefour, Laval, QC H7T 1C8, Canada;45.5702063;-73.7519628
Canada;https://www.lego.com/en-us/stores/stores/ca/fairview-pointe-claire;6801 TRANS-CANADA HWY POINTE CLAIRE QC H9R 5J2;6801 Route Transcanadienne, Pointe-Claire, QC H9R 5J2, Canada;45.4640679;-73.8304813
Denmark;https://www.lego.com/en-us/stores/stores/dk/copenhagen;VIMMELSKAFTET 37 COPENHAGEN 1161;Vimmelskaftet 37, 1161 København, Denmark;55.67854519999999;12.5758971
Denmark;https://www.lego.com/en-us/stores/stores/dk/lego-house-billund;OLE KIRKS PLADS 1 BILLUND 7190;Ole Kirks Vej 1, 7190 Billund, Denmark;55.7327138;9.1140806
France;https://www.lego.com/en-us/stores/stores/fr/bordeaux-ste-catherine;RUE GUIRAUDE BORDEAUX 33000;Rue Guiraude, 33000 Bordeaux, France;44.8395425;-0.575019
France;https://www.lego.com/en-us/stores/stores/fr/clermont-ferrand;CENTRE JAUDE CLERMONT-FERRAND 63000;18 Rue d'Allagnat, 63000 Clermont-Ferrand, France;45.7746867;3.0824322
France;https://www.lego.com/en-us/stores/stores/fr/disneyland;DISNEY VILLAGE CHESSY 77700;Disney Village, 77700 Chessy, France;48.8693254;2.7844824
France;https://www.lego.com/en-us/stores/stores/fr/lille;CENTRE COMMERCIAL EURALILLE LILLE 59800;100 Avenue Willy Brandt, 59777 Lille, France;50.6372405;3.0737471
