"OUTDOOR_TEMP"|"ELECTRIC_POWER"
30,248541|
31,321108|324,54
32,704262|
24,938467|252,7
33,316906|331,1
26,947517|270,8
34,769539|288,66
28,403118|287,46
29,597477|292,45
29,947006|312,77
27,516817|277,58
0|271,12
33,307117|322,3
31,845131|325,52
29,769867|315,59
27,496588|301,72
31,274097|264,56
34,492065|348,94
30,368567|283,71
24,093662|233,54
25,288822|263,52
25,689007|266,67
23,536821|211,88
28,097219|268,05
24,745077|233,13
29,4466|309,27
27,589268|263,76
33,19759|321,82
28,509657|257,41
31,989313|309,84
27,450672|282,63
23,993782|232,7
28,565849|287,73
24,094833|222,5
26,758497|254,25
28,018631|291,65
28,379158|299,26
26,607323|269,76
26,869104|246,26
28,692123|266,7
26,182232|259,47
28,120371|279,45
0|235,95
26,811825|252,85
0|276,02
28,297009|290,33
26,122789|279,48
29,82976|284,44
31,273031|316,45
26,60461|258,4
28,369835|270,67
29,8251|292,26
28,139177|304,91
30,479342|291,42
28,624952|302,46
31,525211|332,19
32,053974|325,49
32,648254|332,89
25,327053|261,14
28,022993|256,58
32,389984|323
34,8116|320,32
35,826546|314,19
32,178612|332,73
27,955988|266,5
28,36553|296,94
29,332254|309,65
35,370476|356,07
34,992046|337,15
26,165327|264,65
25,519445|242,25
26,036488|243,41
25,362055|248,24
24,620575|248,25
28,689529|273,12
26,252275|253,33
30,050358|305,42
26,129459|257,93
28,914011|275,02
35,006214|339,89
29,437225|292,51
30,891506|305,76
30,607159|297,27
29,392483|299,45
28,87941|298,7
26,704376|262,89
24,665588|238,58
25,017534|267,52
25,359787|247,95
25,775991|255,91
31,482391|316,7
26,942913|255,54
27,096596|287,76
0|290,84
31,156326|318
21,678471|225,54
33,710861|348,1
34,030449|334,53
35,126301|332,65
35,167675|356,93
35,097649|354,65
34,92939|347,97
34,566002|337,15
33,99115|334,56
0|267,86
26,899384|257,91
27,029488|271,89
36,730728|354,19
31,028564|303,27
21,716848|247,67
20,884727|217,24
29,25676|299,35
19,102493|227,41
0|0
24,305384|218,74
21,847984|234,02
21,825539|206,59
33,33321|318,89
20,884771|189,86
30,860125|278,17
32,596581|326,52
37,286369|356,19
36,54554|354,52
35,082966|342,36
34,305359|341,83
34,107235|307,8
30,946075|308,6
28,527946|287,65
30,59934|326,59
28,248102|281,95
28,52574|268,11
28,034733|257,23
26,402222|261,47
26,74436|237,52
25,333138|244,37
25,177254|237,79
29,016323|268,25
32,396492|315,72
30,878963|284,82
32,052349|320,38
32,724319|307,2
31,468155|281,18
35,526649|329,34
35,199303|340,24
37,070904|349,71
35,41748|349,93
35,152977|328,88
33,537178|343,67
23,522774|249,41
23,998241|231,18
32,366917|326,97
29,730423|300,94
30,743443|306,97
32,227657|288,39
29,272692|290,93
30,088917|288,09
28,807713|295,75
28,358368|311,88
27,020372|294,77
26,376154|297,16
25,999193|294,38
27,827713|256,74
25,505934|284,41
26,715693|294,86
0|310,92
0|286,37
31,764463|309,93
33,740635|308,16
35,65995|333,5
30,851891|303,04
34,158051|339,63
29,076685|272,3
0|312,18
32,417118|312,01
30,569477|305,14
24,399881|256,96
24,599827|245,88
26,022442|264,92
27,162771|293,51
27,67775|303,47
29,096163|274,86
31,582966|301,39
32,775467|300,1
30,495785|290,95
32,651802|306,11
26,403915|271,77
31,841747|300,25
24,527916|270
24,410667|249,58
22,936142|247,87
22,730507|254,72
23,16184|224,67
21,768389|221,03
22,38158|224,6
23,088579|230,48
28,347128|296,19
32,163517|333,61
30,128763|281,16
34,412308|290,67
28,201448|277,61
34,796291|301,96
27,995193|263,13
27,08326|266,69
34,60051|306,63
24,461771|282,35
28,881842|281,92
28,554142|272,48
27,110662|258,08
27,008598|283,34
25,362595|275,11
26,630075|245,64
32,280834|322,25
30,519075|332,47
33,171158|337,26
31,501574|306,78
30,367868|313,35
30,059734|298,79
34,80167|344,39
29,759869|309,6
29,386507|280,14
28,864389|282,37
27,917225|269,86
27,823883|269,88
27,447243|282,82
26,504238|254,98
30,158222|301,14
23,215582|223,88
23,85342|231,41
30,856905|314,59
34,492363|307,66
33,622616|323,93
33,749886|329,75
34,107845|311,36
35,003326|304,09
34,875134|317,65
34,908314|308,29
27,856567|253,75
25,787951|225,37
23,736637|213,46
29,114998|270,92
34,618752|325,78
30,794773|285,54
35,006004|367,29
34,862865|337,31
34,781715|349,07
34,633579|332,83
33,686623|324,92
33,161922|336,41
32,930035|323,48
32,585403|324,79
31,831207|308,6
25,551447|255,47
31,616192|281,45
25,073414|245,02
31,455669|307,83
23,4559|215,77
35,326191|343,74
35,627998|324,19
33,941784|311,97
34,564381|319,8
29,757242|299,78
31,224937|323,42
26,792305|262,83
32,62439|320,03
33,324661|335,55
34,30479|346,39
34,527203|325,46
34,68306|335,33
35,414951|331,67
35,986019|323,01
35,470219|341,32
35,599319|343,06
35,847313|329,81
33,220051|323,31
31,848566|310,07
30,249689|298,9
29,63763|315,94
29,121105|295,01
26,391329|264,86
35,878677|311,79
30,470926|296,71
28,168522|293,97
27,487991|289,66
26,351364|269,02
27,114824|264,82
25,063747|255,8
23,505114|255,08
31,830074|278,2
31,092754|286,5
31,085846|269,64
30,347597|264,4
30,108938|258,73
29,363735|267,04
29,609268|301,26
29,23287|296,16
27,907759|274,18
26,561459|265,13
26,848944|244,6
25,346209|247,1
25,821945|267
25,657993|232,69
25,828018|247,1
24,763086|233,1
25,123913|244,83
23,901875|226,28
27,571604|288,28
31,96088|304,73
31,273127|317,44
30,79682|305,43
26,799871|278,08
26,264952|265,03
26,846918|275,88
27,075272|263,45
26,170721|267,86
32,518303|312,84
32,101963|316,74
31,590302|321,17
31,43527|312,87
31,029377|320,2
35,757355|328,86
35,232407|332,35
35,30677|284,46
33,002155|317,76
32,155472|293,68
31,528652|285,13
31,289234|302,6
34,373062|298,28
33,351547|288,96
32,953697|315,73
31,97666|292,71
31,65708|277,42
26,815834|234,15
27,293476|232,96
28,132101|288,96
27,949032|276,58
29,409544|284,06
0|0
34,170231|311,67
36,639977|349,43
36,755642|371,5
36,817852|335,32
35,920746|341,57
32,64233|347,38
34,019264|328,37
33,77346|351,43
33,309074|340,76
31,76413|309,53
30,450489|299,81
27,662779|275,89
27,998688|275,91
29,59647|309,93
33,91922|322,16
28,948971|299,39
25,588736|248,94
25,726517|255,88
27,187441|257,23
28,108355|283,15
29,631989|290,11
30,578638|309,14
31,270802|294,26
32,768566|345,83
30,809582|330,1
30,223269|310,87
27,816645|324,34
24,112484|248,22
26,689919|265,16
28,095119|268,82
28,567434|304,09
29,361055|297,52
33,849949|329,5
25,196459|252,82
32,239902|301,59
30,932119|293,55
31,092434|279,43
28,72724|287,99
31,780699|317,28
26,945892|279,89
28,579527|257,71
25,721153|252,13
25,892477|257,43
24,780704|250,9
28,456066|274,35
29,487598|283,4
35,308578|319,11
29,706974|295,4
30,517065|332,36
31,117323|313,15
27,710985|287,21
31,495659|332,26
31,768789|321,21
22,635517|230,62
21,833448|224,73
20,799683|240,71
18,913992|192,39
22,349287|235,15
25,067074|281,23
28,437996|305,82
30,39019|302,19
32,155327|326,88
32,682266|327,25
34,949245|354,11
32,048725|307,37
23,317675|226,44
29,329247|275,08
20,272182|218,87
20,339674|208,19
25,319063|256,89
20,446608|203,66
24,79508|240,47
25,069725|246,33
25,99855|258,24
26,835217|292,64
30,142622|283,78
30,273026|291,79
30,810699|260,76
26,544775|255,8
25,688019|248,5
32,829391|330,27
28,846771|264,29
28,925278|244,52
27,039688|243,5
25,021454|220,65
30,006187|289,23
24,854275|224,26
24,963108|244,52
29,35573|298,51
0|0
27,603291|265,51
21,743126|218,16
19,760189|196,43
24,319168|235,45
25,529945|263,88
20,429911|196,21
27,037411|280,08
20,01865|214,27
24,042725|241,52
25,342667|241,51
32,701515|332,76
32,417244|326,05
32,097542|330,71
31,022135|313,93
27,637419|268,82
32,860188|338,36
33,306091|327,68
34,750332|345,79
24,393641|233,58
25,831188|224,77
22,911819|226,91
23,948002|223,55
27,334696|256,17
21,377939|224,55
23,0625|217
30,581465|322,44
31,322718|314,71
32,930763|333,37
25,594118|269,92
27,079714|284,89
0|283,94
28,531021|307,94
29,929691|312,74
29,940556|278,16
29,135391|279,61
27,471943|286,68
26,356813|272,89
27,507038|267,05
31,294645|286,56
29,027531|285,33
35,023956|318,25
32,885757|282,46
34,660473|333,84
34,470829|341,31
32,892014|307,81
24,054749|232,52
23,197279|237,9
24,33094|221,87
22,583063|227,32
26,234982|265,34
25,396713|240,25
28,397449|286,77
27,194408|250,74
28,419769|246,17
28,616821|282,18
33,676991|328,51
29,230358|272,9
33,642582|319,83
33,758511|313,63
33,409592|336,61
31,046406|291,03
31,557011|330,45
32,203796|319,46
30,740772|305,15
34,213871|337,41
33,815407|312,08
33,201241|311,85
31,135399|307,8
30,680357|320,64
29,073696|294,68
27,208738|281,31
27,527678|270,55
29,562862|275,41
28,333357|288,42
22,680767|216,6
23,264383|222,27
21,868069|224,63
20,336958|206,75
25,528168|248,72
21,928909|217,66
27,105301|270,27
31,889416|304,28
28,518084|260,15
29,845518|298,87
29,380215|293,63
29,865719|313,08
26,449863|245,4
30,560436|308,26
25,051296|249,2
32,974251|308,26
33,692223|315,83
33,751518|317,03
34,597252|328,76
29,127018|287,61
30,247946|312,39
30,677654|308,83
32,692898|312,63
32,357121|319,29
27,579477|285,51
26,421797|248,3
25,886017|269,17
29,954966|299,46
26,405142|250,09
25,630003|251,53
26,018805|247,65
24,492405|247,19
26,20697|279,55
24,431225|252,67
30,443039|305,98
24,226761|242,6
24,694712|244,98
24,52272|230,94
25,635801|260,44
27,25901|275,09
